,Hiking/ camping/ outdoors,Museums/ photography/ art,Sports/ running/ workout,Listening to/ playing music,Travel/ roadtrips/ exploration,Movies/ Netflix/ TV,Design/ Making/ Crafting,Coding,Finding deals/ couponing,Car enthusiast,Foodie/ fine dining,Hip hop/ street wear,Fashion blogs / OOTD,Korean dramas/ Asian style,Thrifting/ Flea markets
Samsung,23,32,46,30,42,18,30,25,21,23,7,13,11,26,
Beats ear buds,22,29,43,28,39,19,24,30,21,25,10,13,9,26,
Laptop - lenovo,24,28,41,24,42,15,24,28,16,23,5,11,9,22,
Laptop - surface,23,26,40,27,43,18,23,25,17,24,5,10,7,21,
laptop - mac,17,21,34,21,35,16,20,27,13,19,7,11,4,24,
Nalgene,17,23,35,23,32,13,17,20,13,20,5,7,7,17,
Couch - normal,16,20,33,22,35,13,17,19,14,22,3,10,6,16,
Herschel,12,14,24,15,20,9,16,15,7,11,4,6,3,9,
Northface,16,21,37,21,31,12,16,19,13,22,5,9,7,16,
Flip phone,9,14,18,13,17,11,16,14,12,12,5,5,4,11,
iPhone,16,20,31,20,29,13,16,22,15,18,4,6,4,19,
Toothbrush - normal,16,20,30,21,31,13,16,17,10,16,5,9,8,16,
Couch - leather,11,15,24,16,20,10,16,16,12,14,6,7,5,14,
Pen - ballpoint,14,18,25,13,27,11,16,17,8,16,5,8,8,14,
Apple ear pods,14,20,30,20,32,14,15,24,13,20,6,12,7,18,
Smart watch,11,19,29,17,24,13,15,21,13,14,5,10,3,13,
Toothbrush - Sonicare,17,18,30,24,26,15,15,21,10,18,4,9,8,17,
Couch - modern,14,19,25,19,28,13,15,15,9,14,5,5,6,14,
Bose ear buds,13,15,24,17,20,13,14,15,11,14,4,5,2,14,
Keychain flashlight,15,11,25,18,25,11,14,17,8,13,3,8,3,16,
maglight,16,13,25,22,30,13,14,17,11,16,3,5,4,18,
Speaker - qsc,13,15,27,19,28,9,14,16,9,16,2,7,4,8,
Calculator - advanced,9,12,17,13,17,11,13,14,9,10,2,8,6,12,
Calculator - app,13,13,22,17,23,9,13,17,6,11,1,6,4,10,
Sunglasses - aviators,11,19,25,15,19,10,13,15,11,14,4,7,4,11,
Nike,14,20,28,19,27,11,12,19,14,17,6,7,4,15,
Digital watch,10,16,19,13,21,9,12,13,11,9,5,6,5,11,
Pen - mont blanc,11,12,18,15,19,9,12,16,5,7,2,6,4,10,
Sunglasses - generic - TEST,15,21,27,17,29,10,12,15,10,19,6,8,8,10,
Analog watch,9,13,18,12,14,7,11,14,8,8,3,3,3,7,
Sketchers,14,10,19,13,18,9,10,12,9,13,3,7,3,13,
Speaker - beats,13,21,24,14,21,10,10,16,10,10,7,6,4,11,
Toothbrush - design,9,14,20,14,19,9,10,16,6,10,4,4,4,12,
Sunglasses - Oakley,10,14,19,12,17,9,10,9,10,12,3,3,3,13,
Camelback - TEST,9,13,16,11,13,5,9,8,7,9,4,6,5,7,
Pen - ink,10,10,16,12,14,9,9,13,5,9,4,4,2,9,
Calculator - simple,11,12,19,12,18,10,9,13,9,9,3,5,2,11,
Speaker - cheap,7,10,17,11,14,8,8,12,6,8,1,6,3,9,
Air Jordan,3,9,9,4,6,2,7,7,9,4,3,2,3,4,
Bowl - rustic,12,8,19,15,23,15,7,13,4,14,3,6,4,12,
Bowl - simple,10,9,16,13,18,9,7,10,3,12,1,6,4,9,
Nike bottle,6,8,11,8,14,3,6,13,4,5,1,6,2,5,
Swell bottle - TEST,8,8,16,14,20,7,6,11,3,12,3,9,4,8,
headlamp,7,8,12,10,13,4,6,5,8,7,3,3,3,7,
Bowl - pattern,8,6,15,13,18,10,6,7,5,13,3,5,4,9,